id,name,username,text,image_urls,file_urls
870922,Dcmeldrich,dcmeldrich,"<p>Yes, but with no change.  It would seem if there are errors reported there would be a way to correct them.  Thanks for the ping.</p>",,
870921,,Helvetosaur,"<aside class=""quote no-group"" data-username=""Steve1"" data-post=""4"" data-topic=""167635"">
<div class=""title"">
<div class=""quote-controls""></div>
<img loading=""lazy"" alt="""" width=""24"" height=""24"" src=""https://sea1.discourse-cdn.com/mcneel/user_avatar/discourse.mcneel.com/steve1/48/487081_2.png"" class=""avatar""> Steve1:</div>
<blockquote>
<p>How can I test mouse button output</p>
</blockquote>
</aside>
<p>Try with a different mouse…</p>",,
870919,Lev Nikitin,Lev_Nikitin,"<p><div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://global.discourse-cdn.com/mcneel/uploads/default/original/4X/5/4/6/5464b6999ac06f92ea7b864d6004df3c7e103426.jpeg"" data-download-href=""/uploads/short-url/c2zSQTp7txwKMZobUAKy0p32X9c.jpeg?dl=1"" title=""Screenshot 2023-10-21 at 22.25.26"" rel=""noopener nofollow ugc""><img src=""https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/5/4/6/5464b6999ac06f92ea7b864d6004df3c7e103426_2_690x393.jpeg"" alt=""Screenshot 2023-10-21 at 22.25.26"" data-base62-sha1=""c2zSQTp7txwKMZobUAKy0p32X9c"" width=""690"" height=""393"" srcset=""https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/5/4/6/5464b6999ac06f92ea7b864d6004df3c7e103426_2_690x393.jpeg, https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/5/4/6/5464b6999ac06f92ea7b864d6004df3c7e103426_2_1035x589.jpeg 1.5x, https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/5/4/6/5464b6999ac06f92ea7b864d6004df3c7e103426_2_1380x786.jpeg 2x"" data-dominant-color=""A19F9D""><div class=""meta""><svg class=""fa d-icon d-icon-far-image svg-icon"" aria-hidden=""true""><use href=""#far-image""></use></svg><span class=""filename"">Screenshot 2023-10-21 at 22.25.26</span><span class=""informations"">1920×1095 103 KB</span><svg class=""fa d-icon d-icon-discourse-expand svg-icon"" aria-hidden=""true""><use href=""#discourse-expand""></use></svg></div></a></div><br>
<a class=""attachment"" href=""/uploads/short-url/5szCTfYPrPFGUmUSijEDraZwO5d.csv"">sensor2 5.csv</a> (42.4 KB)<br>
<a class=""attachment"" href=""/uploads/short-url/7zOwQZ4Vc4bXIEpv5V7ts5BAuue.gh"">Probe2.gh</a> (12.8 KB)</p>
<p>Using accelerometre and gyroscope data i tried to recreate motion tracking in grasshopper. I used iPhone app Physic tool box for collecting the data and imported it in GH. Moving the phone i was drawing the letter ‘N’ in the air. So the result looks a bit like this. This was a really raw sketch and just first approach, since i just started researching in this field. My goal is to take the maximum from a Phone abilities for motion tracking. I would be glad to get some advice how i could optimise and improve the GH file.<br>
<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://global.discourse-cdn.com/mcneel/uploads/default/original/4X/7/d/2/7d2f692e258bf4ba6469bff3e758aa11c34a3d5b.jpeg"" data-download-href=""/uploads/short-url/hRrgbGSLmjJBDClwK20CSIeZNYn.jpeg?dl=1"" title=""Screenshot 2023-10-21 at 22.32.39"" rel=""noopener nofollow ugc""><img src=""https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/7/d/2/7d2f692e258bf4ba6469bff3e758aa11c34a3d5b_2_690x263.jpeg"" alt=""Screenshot 2023-10-21 at 22.32.39"" data-base62-sha1=""hRrgbGSLmjJBDClwK20CSIeZNYn"" width=""690"" height=""263"" srcset=""https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/7/d/2/7d2f692e258bf4ba6469bff3e758aa11c34a3d5b_2_690x263.jpeg, https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/7/d/2/7d2f692e258bf4ba6469bff3e758aa11c34a3d5b_2_1035x394.jpeg 1.5x, https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/7/d/2/7d2f692e258bf4ba6469bff3e758aa11c34a3d5b_2_1380x526.jpeg 2x"" data-dominant-color=""D8D3CB""><div class=""meta""><svg class=""fa d-icon d-icon-far-image svg-icon"" aria-hidden=""true""><use href=""#far-image""></use></svg><span class=""filename"">Screenshot 2023-10-21 at 22.32.39</span><span class=""informations"">1920×732 72.1 KB</span><svg class=""fa d-icon d-icon-discourse-expand svg-icon"" aria-hidden=""true""><use href=""#discourse-expand""></use></svg></div></a></div></p>","https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/5/4/6/5464b6999ac06f92ea7b864d6004df3c7e103426_2_690x393.jpeg, https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/7/d/2/7d2f692e258bf4ba6469bff3e758aa11c34a3d5b_2_690x263.jpeg","/uploads/short-url/5szCTfYPrPFGUmUSijEDraZwO5d.csv, /uploads/short-url/7zOwQZ4Vc4bXIEpv5V7ts5BAuue.gh"
870918,diff-arch,diff-arch,"<p>Happy Birthday Rhino, my friend!</p>",,
870917,Luis Fraguada,fraguada,"<p>Today, or around today is the 25th anniversary of Rhino! We’ve celebrated with a 3 day conference in Barcelona with lots of new and old colleagues and a McNeel employee gathering today.</p>
<p>Here’s to 25 more! <img src=""https://emoji.discourse-cdn.com/twitter/clinking_glasses.png?v=12"" title="":clinking_glasses:"" class=""emoji"" alt="":clinking_glasses:"" loading=""lazy"" width=""20"" height=""20""></p>",https://emoji.discourse-cdn.com/twitter/clinking_glasses.png?v=12,
870916,,Steve1,"<p>Please anyone ?<br>
thread to disappear into the solid by the time 360 degrees rotation is reached, how is that done ?</p>
<p>Steve</p>",,
870915,Martin Siegrist,martinsiegrist,"<p>I found out there’s a place to enter a description in the document properties and a custom icon can be set.</p>
<p>Now if this could be displayed in the file explorer… the problem would be solved.</p>
<p><div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://global.discourse-cdn.com/mcneel/uploads/default/original/4X/2/5/b/25b749872d1e8edf5f79034172a1b9e4259487c9.jpeg"" data-download-href=""/uploads/short-url/5nEma5copYkJdXgD0hmtthYoBHH.jpeg?dl=1"" title=""image""><img src=""https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/2/5/b/25b749872d1e8edf5f79034172a1b9e4259487c9_2_690x383.jpeg"" alt=""image"" data-base62-sha1=""5nEma5copYkJdXgD0hmtthYoBHH"" width=""690"" height=""383"" srcset=""https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/2/5/b/25b749872d1e8edf5f79034172a1b9e4259487c9_2_690x383.jpeg, https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/2/5/b/25b749872d1e8edf5f79034172a1b9e4259487c9_2_1035x574.jpeg 1.5x, https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/2/5/b/25b749872d1e8edf5f79034172a1b9e4259487c9_2_1380x766.jpeg 2x"" data-dominant-color=""E4E5E5""><div class=""meta""><svg class=""fa d-icon d-icon-far-image svg-icon"" aria-hidden=""true""><use href=""#far-image""></use></svg><span class=""filename"">image</span><span class=""informations"">1920×1067 137 KB</span><svg class=""fa d-icon d-icon-discourse-expand svg-icon"" aria-hidden=""true""><use href=""#discourse-expand""></use></svg></div></a></div></p>",https://global.discourse-cdn.com/mcneel/uploads/default/optimized/4X/2/5/b/25b749872d1e8edf5f79034172a1b9e4259487c9_2_690x383.jpeg,
870914,,Steve1,"<p>Hi,<br>
ah yes click and hold and out they come, though they dont, sometimes, but often nothing, or several secs later.</p>
<p>click and type layer name sometimes no provision for such,</p>
<p>click and drag text to highlight, and all I get is cursor, in Msoft or other places highlight should appear.</p>
<p>Close Pshop, same behaviour.</p>
<p>If I have a selection and click once and wait, I get nothing, so have to click the lower right corner and then bring cursor down across the options and let go on the one required.</p>
<p>If I select a file in explorer, it sometimes opens the native prog when I didnt do a double click to do so.</p>
<p>I wonder if the mouse is transmitting two clicks at times, so a double click on ortho becomes a triple and loses the selection.<br>
and a single click and hold becomes a ‘something else’ and it doesnt understand the mouse input.</p>
<p>How can I test mouse button output ?</p>
<p>Cheers</p>
<p>Steve</p>",,
870913,Daniel Maslan,danielmaslan,"<p>I’ve been looking for a tool for sharing Rhino models online, mostly for presentations and sending to clients. I know there are some out there, but none of them seem to fit all of my needs. Specifically, I am looking for something that:</p>
<ul>
<li>Imports named views</li>
<li>Let’s the viewer to switch between views (ideally animating between them)</li>
<li>Has a minimal UI that doesn’t distract from the model</li>
<li>Displayed models with nice colors and lighting</li>
<li>Creates a shareable link that can be sent to clients</li>
<li>Can be embedded directly in websites and portfolios</li>
</ul>
<p>After spending a while looking unsuccessfully, I decided to build my own tool, which I’m currently working on. If you want to stay updated on my progress, check out <a href=""https://www.modelgram.xyz/"" rel=""noopener nofollow ugc"">modelgram.xyz</a>. I’d appreciate any feedback or insights on what you’re currently using or what you’d like to see in such a tool!</p>",,
870912,Martin Siegrist,martinsiegrist,"<p>I’ve been using TT Toolbox long time ago and ExcelWrite in Rhino 7 but I think it doesn’t work in Rhino 8.</p>
<p>I don’t want to install another plugin so the quick solution is to stream panel data to a *.csv file which can be opened in Excel afterwards.</p>",,
